"UserID", "TrialNumber", "Chart", "Actual", "Response"
"GCYo2p",1,"radial_bar_chart",26.262626262626267,25
"GCYo2p",2,"pie_chart",27.631578947368425,25
"GCYo2p",3,"radial_bar_chart",80.48780487804879,85
"GCYo2p",4,"radial_bar_chart",37.17948717948718,33
"GCYo2p",5,"radial_bar_chart",55.0561797752809,60
"GCYo2p",6,"pie_chart",66.0377358490566,90
"GCYo2p",7,"pie_chart",84.61538461538461,95
"GCYo2p",8,"radial_bar_chart",37.5,40
"GCYo2p",9,"pie_chart",58.108108108108105,70
"GCYo2p",10,"bar_chart",38.095238095238095,33
"GCYo2p",11,"bar_chart",15.217391304347828,10
"GCYo2p",12,"bar_chart",28.57142857142857,25
"GCYo2p",13,"bar_chart",90.9090909090909,95
"GCYo2p",14,"radial_bar_chart",40.845070422535215,20
"GCYo2p",15,"bar_chart",41.37931034482759,42
"GCYo2p",16,"radial_bar_chart",52.4390243902439,50
"GCYo2p",17,"radial_bar_chart",87.71929824561403,90
"GCYo2p",18,"pie_chart",48.148148148148145,50
"GCYo2p",19,"pie_chart",87.5,80
"GCYo2p",20,"radial_bar_chart",33.33333333333333,45
"GCYo2p",21,"radial_bar_chart",96.7741935483871,90
"GCYo2p",22,"radial_bar_chart",17.5,20
"GCYo2p",23,"pie_chart",78.49462365591397,85
"GCYo2p",24,"radial_bar_chart",49.333333333333336,70
"GCYo2p",25,"radial_bar_chart",82.10526315789474,90
"GCYo2p",26,"radial_bar_chart",22.857142857142858,40
"GCYo2p",27,"pie_chart",22.916666666666664,25
"GCYo2p",28,"pie_chart",68.62745098039215,90
"GCYo2p",29,"bar_chart",75,85
"GCYo2p",30,"pie_chart",41.83673469387755,45
"GCYo2p",31,"pie_chart",61.53846153846154,70
"GCYo2p",32,"pie_chart",49.48453608247423,60
"GCYo2p",33,"bar_chart",83.9080459770115,85
"GCYo2p",34,"pie_chart",77.77777777777779,90
"GCYo2p",35,"pie_chart",64.47368421052632,75
"GCYo2p",36,"bar_chart",87.17948717948718,95
"GCYo2p",37,"radial_bar_chart",56.25,55
"GCYo2p",38,"pie_chart",46,55
"GCYo2p",39,"bar_chart",21.59090909090909,20
"GCYo2p",40,"radial_bar_chart",93.75,90
"GCYo2p",41,"bar_chart",66.66666666666666,70
"GCYo2p",42,"pie_chart",15.584415584415584,10
"GCYo2p",43,"bar_chart",42.1875,40
"GCYo2p",44,"bar_chart",60.526315789473685,70
"GCYo2p",45,"bar_chart",91.01123595505618,90
"GCYo2p",46,"pie_chart",66.66666666666666,70
"GCYo2p",47,"bar_chart",44.776119402985074,40
"GCYo2p",48,"radial_bar_chart",53.086419753086425,55
"GCYo2p",49,"pie_chart",22.82608695652174,15
"GCYo2p",50,"bar_chart",57.49999999999999,65
"GCYo2p",51,"bar_chart",26.190476190476193,15
"GCYo2p",52,"radial_bar_chart",92.13483146067416,90
"GCYo2p",53,"bar_chart",81.63265306122449,85
"GCYo2p",54,"bar_chart",28.947368421052634,27
"GCYo2p",55,"pie_chart",94.73684210526315,95
"GCYo2p",56,"bar_chart",64.81481481481481,70
"GCYo2p",57,"radial_bar_chart",28.40909090909091,33
"GCYo2p",58,"bar_chart",64.86486486486487,65
"GCYo2p",59,"radial_bar_chart",51.578947368421055,45
"GCYo2p",60,"pie_chart",65.78947368421053,70
